NAME1,SCHEDULES_ALL,SCHEDULES_COMMENT,SCHEDULES_DAYOFF,SCHEDULES_SUMMER,SCHEDULES_WINTER,TITLE, 
Αλαί,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αλίφειρα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Άλος,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Άλωρος,,,,,,Αρχαιολογικός Χώρος, 
Αμάρυνθος,,Ο χώρος είναι επισκέψιμος όλες τις ώρες.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αμβρακία,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αμνισός,08:30-15:00,,,,,Αρχαιολογικός Χώρος, 
Αμυκλαίον και Ιερό Απόλλωνος Αμυκλαίου,,,,,,Αρχαιολογικός Χώρος, 
Αμφιάρειο Ωρωπού,,,,8:00 - 15:00,Καθημερινά 8:30 - 15:00,Αρχαιολογικός Χώρος, 
Αμφίπολις,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Άμφισσα,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Ανάβατος,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ανακτορικό συγκρότημα Αχίλλειον,,,,,,Αρχαιολογικός Χώρος, 
Ανακτορόπολις,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αναστασιούπολις - Περιθεώριον,,"Υπαίθριοι χώροι. Ανοικτοί συνεχώς.
",,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ανδρομονάστηρο,,,,,,Αρχαιολογικός Χώρος, 
Ανδρών,,"
",,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ανεμόσπηλια,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αντίκυρα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Άνω Εγκλιανός Μεσσηνίας - Ανάκτορο Νέστορος,,"Ο αρχαιολογικός χώρος του Ανακτόρου του Νέστορος, μια από τις σημαντικότερες θέσεις της Μυκηναϊκής εποχής σε ολόκληρη την Ελλάδα, έκλεισε τις πύλες του για το κοινό στις 10 Δεκεμβρίου  2012. Δυο μεγάλα έργα, με στόχο την ανάδειξη και την προστασία του μοναδικού αυτού μνημείου, πραγματοποιούνται παράλληλα στο πλαίσιο του Επιχειρησιακού Προγράμματος «Δυτικής Ελλάδας Πελοποννήσου – Ιονίων Νήσων 2007-2013».",,,,Αρχαιολογικός Χώρος, 
Άνω Πόλη Κυπαρισσίας,,,,,,Αρχαιολογικός Χώρος, 
Ανώπολις,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αποδούλου,,Κάθε Δευτέρα κλειστός,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Απτέρα,,Κλειστός κάθε Δευτέρα,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2012: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αργιθέα,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Αρκαδικός,,Προκειμένου να επισκεφθεί κανείς τον Αρχαιολογικό Χώρο Αρκαδικού θα πρέπει να επικοινωνήσει με τον αρχιφύλακα του Αρχαιολογικού Μουσείου Δράμας στο τηλ. 2521031365,,,,Αρχαιολογικός Χώρος, 
Αρκάσα Καρπάθου,,"
",,,,Αρχαιολογικός Χώρος, 
Αρτεμίσιο,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αρχαία Αγορά Αθηνών - Άρειος Πάγος,"ΔΕΥΤΕΡΑ-ΚΥΡΙΑΚΗ: 08.00-20.00
Τελευταία είσοδος:19:45

Μουσείο Αρχαίας Αγοράς - Στοά Αττάλου
ΔΕΥΤΕΡΑ-ΚΥΡΙΑΚΗ: 8.00 - 20.00
Τις Κυριακές 18.5.και 25.5.2014, ημέρες δημοτικών εκλογών και ευροεκλογών ο χώρος θα λειτουργήσει από 10.00 έως 17.00.",,,,,Αρχαιολογικός Χώρος, 
Αρχαία Αγορά Άργους,,,,,Από 1η Νοεμβρίου 2013 έως 31η Μαρτίου 2014: 08:00-15:00,Αρχαιολογικός Χώρος, 
Αρχαία Αγορά Θεσσαλονίκης,"Τρίτη - Κυριακή, 8:00 π.μ. - 15:00 μ.μ.",Δευτέρα: κλειστό,,,,Αρχαιολογικός Χώρος, 
Αρχαία Ζώνη,Καθημερινά 08:00 - 15:00,,,,,Αρχαιολογικός Χώρος, 
Αρχαία Θεσσαλονίκη,,,,,,Αρχαιολογικός Χώρος, 
Αρχαία Θήρα,,Δευτέρα: κλειστό,,"(1 Απριλίου έως 31 Οκτωβρίου 2013) Τρίτη-Κυριακή: 
08:00-15:00",,Αρχαιολογικός Χώρος, 
"Αρχαία Ιερά οδός (Πλατεία Εσταυρωμένου, Σταθμός ΜΕΤΡΟ ""Αιγάλεω"")",,Χώρος διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Αρχαία Κόρινθος,,"Ελεύθερη είσοδος:
6/3, 25/3, 18/4, 18/5, 5/6, 28/10,
τελευταίο Σαββατοκύριακο Σεπτεμβρίου,
1η Κυριακή του μήνα από 1/11 έως 31/3",,Από 1η Απριλίου έως 31 Οκτωβρίου:  08:00-20:00,Από 1η Νοεμβρίου έως 31 Μαρτίου: 08:00-15:00,Αρχαιολογικός Χώρος, 
Αρχαία Μαρώνεια,08:30-15:00,,,,,Αρχαιολογικός Χώρος, 
Αρχαία Μεσσήνη - Αρχαιολογικός Χώρος,,,,8:00-20:00,"Από την 30η Οκτωβρίου έως την 31η Μαρτίου
Από 09:00π.μ.  έως 16:00",Αρχαιολογικός Χώρος, 
Αρχαία Μήθυμνα,,Τα αρχαία κατάλοιπα είναι ανα πάσα στιγμή ορατά από τους διερχομένους.,,,,Αρχαιολογικός Χώρος, 
Αρχαία Όρθη,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Αρχαία Φειά,,,,,,Αρχαιολογικός Χώρος, 
Αρχαία Φιγαλεία,,,,,,Αρχαιολογικός Χώρος, 
Αρχαίες Παγαί (Αλεποχώρι),,,,,,Αρχαιολογικός Χώρος, 
Αρχαίο θέατρο Δωδώνης,08.00-15.00,Δευτέρα κλειστά,,,,Αρχαιολογικός Χώρος, 
Αρχαίο Νεκροταφείο Πάρου,,Ορατό μόνον περιμετρικά.,,,,Αρχαιολογικός Χώρος, 
Αρχαίο Φρούριο Αιγοσθένων,Χώρος διαρκώς επισκέψιμος.,Χώρος διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Αρχαίοι Γόμφοι,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός περίπατος Ουρανούπολης,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Αγίου Παταπίου Βεροίας,,Κλειστό λόγω εργασιών.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος αιολικού ιερού Κλοπεδής Λέσβου,,"Ο χώρος θα είναι ανοιχτός για το κοινό από το 2014.
Αναμένεται καθορισμός χειμερινού και θερινού ωραρίου.",,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Αλίαρτου,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Αρχοντικιού Ψαρών,,,,"Από Δευτέρα ως Παρασκευή: 08:00 -15:00 ως τις 31-10-2014.
Σάββατο και Κυριακή κλειστά.","Από Δευτέρα ως Παρασκευή: 08:00 -15:00 ως τις 31-3-2014.
Σάββατο και Κυριακή κλειστά.",Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Ασκληπιείου  Επιδαύρου,,,,Από 1η Απριλίου 2014:  08:00-20:00,Μάρτιος 2014: 08:00-18:00,Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Αφαίας,,,,Καθημερινά: 09:30-16:30,"Από 1η Νοέμβρη 2013 έως 31 Μαρτίου 2014
Αρχαιολογικός Χώρος
Καθημερινά: 09:30-16:30

Μουσειακή Συλλογή
Καθημερινά: 10:30-13:30
Δευτέρα: κλειστά",Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Γυθείου (Αγορά),,,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Δημοσίου Σήματος,,,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Ελαιοχωρίου,,,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Εμποριού,,,,"Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-10-2014. 
Δευτέρα κλειστά.","Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-3-2014. 
Δευτέρα κλειστά.",Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Θερμής,,,,"Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-10-2014. 
Δευτέρα κλειστά.","Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-3-2014. 
Δευτέρα κλειστά.",Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Ικαρίου Αττικής,,,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Καβειρίου,,,,"Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-10-2014. 
Δευτέρα κλειστά.","Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-3-2014. 
Δευτέρα κλειστά.",Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Κάστρου Πυθαγορείου,,,,,,Αρχαιολογικός Χώρος, 
"Αρχαιολογικός Χώρος Κάστρου στο ""Ποτάμι"" Καρλοβάσου",,,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Κολώνας,,,,"Από 1η Απριλίου έως 31 Οκτωβρίου 2013: 08:00-15:00
Δευτέρα: κλειστά","Από 1η Νοεμβρίου 2013 έως 31 Μαρτίου 2014: 08:00-15:00
Δευτέρα: κλειστά",Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Λυκείου Αριστοτέλους,,,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Μηλέας,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος οδού Αιόλου,,Χώρος διαρκώς επισκέψιμος,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Πλατείας Κοτζιά,,,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Πολιόχνης,,,,"Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-10-2014. 
Δευτέρα κλειστά.","Από Τρίτη ως Κυριακή: 08:00 -15:00 ως τις 31-3-2014. 
Δευτέρα κλειστά.",Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Πύργου Κιερίου,08:30π.μ.-15:00μ.μ.,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος στο λόφο Γόριτσα,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος του Μέσσου,,,,"Από Τρίτη ως Κυριακή: 08:00 - 15:00 ως 31-10-2014. 
Δευτέρα κλειστά.","Από Τρίτη ως Κυριακή: 08:00 - 15:00 ως 31-3-2014. 
Δευτέρα κλειστά.",Αρχαιολογικός Χώρος, 
Αρχαιολογικός Χώρος Υψηλής Άνδρου,,,,(1 Απριλίου έως 31 Οκτωβρίου 2013) Τετάρτη: 08:00-15:00,Κλειστό,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Φανών,,"Υπαίθριος χώρος, διαρκώς προσβάσιμος.",,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Φιλερήμου,,,,"Ως 31-10-2013
Τρίτη ως Παρασκευή 08:00-19:40
Σάββατο ως Δευτέρα 08:00-14:40",,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Φρουρίου Λάρισας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Αρχαιολογικός χώρος Ώλενας,,,,,,Αρχαιολογικός Χώρος, 
Αρχάμπολη,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αρχάνες,,Ανοίγει κατόπιν συννενόησης με την Εφορεία,,,,Αρχαιολογικός Χώρος, 
Αρχοντικό Γιαννιτσών,,,,,,Αρχαιολογικός Χώρος, 
Ασίνη,,,,Από 1η Απριλίου μέχρι 31η Οκτωβρίου 2013: 08:00-15:00,Από 1η Νοεμβρίου 2013 μέχρι 31η Μαρτίου 2014: 08:00-15:00,Αρχαιολογικός Χώρος, 
Ασκληπιείο Κω,,"ΓΙΑ ΟΚΤΩΒΡΙΟ 2013
ΔΕΥΤΕΡΑ: 08.00-15.00, 
ΤΡΙΤΗ-ΠΑΡΑΣΚΕΥΗ: 08.00-ΔΥΣΗ ΗΛΙΟΥ 
ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ: 08.00-15.00",,Από 1η Απριλίου 2014 έως την 31η Οκτωβρίου 2014: 8.00 - 20.00 καθημερινά,"Από 1η Νοεμβρίου έως 31 Μαρτίου 08:30-15:00
Δευτέρα κλειστά.",Αρχαιολογικός Χώρος, 
Ασκληπιείο Τρικάλων,08:30π.μ.-15:00μ.μ.,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,08:30π.μ.-15:00μ.μ.,08:30π.μ.-15:00μ.μ.,Αρχαιολογικός Χώρος, 
Βαρκά Υπάτης,,Ο αρχαιολογικός χώρος δεν είναι επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Βασιλική Ιεράπετρας,,κλειστός,,,,Αρχαιολογικός Χώρος, 
Βασιλική του Αγίου Αχιλλίου στη Λάρισα,Τρίτη έως Κυριακή 8:00- 15:00,Δευτέρα Κλειστά,,,,Αρχαιολογικός Χώρος, 
Βάσσες,08:00 - Δύση ηλίου,,,,,Αρχαιολογικός Χώρος, 
Βιβλιοθήκη Αδριανού,"ΔΕΥΤΕΡΑ - ΚΥΡΙΑΚΗ : 08.00-15.00
Τελευταία είσοδος:14:30",,,"ΔΕΥΤΕΡΑ - ΚΥΡΙΑΚΗ : 08.00-15.00
Tο ωράριο θα εφαρμοστεί απο τις: 1/4/2014","ΔΕΥΤΕΡΑ - ΚΥΡΙΑΚΗ : 08.00-15.00
Tελευταία είσοδος:14:30",Αρχαιολογικός Χώρος, 
Βίτσα Ζαγορίου,,,,,,Αρχαιολογικός Χώρος, 
Βόϊλα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Βόρεια κλιτύς Ακροπόλεως,,,,"Από 1η Απριλίου έως 31 Οκτωβρίου
08.00-20.00
Tελευταία είσοδος 19:30","Από 1 Νοεμβρίου έως 31 Μαρτίου
08.00-15.00.
ΚΥΡΙΑΚΗ & ΑΡΓΙΕΣ:
08:00-15:00.
Τελευταία είσοδος:14:30",Αρχαιολογικός Χώρος, 
Βούντενη,Καθημερινά από τις 8.00π.μ.-15.00μ.μ.,,,,,Αρχαιολογικός Χώρος, 
Βουχέτιον,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Βραυρώνα,,Ο χώρος είναι κλειστός λόγω εκτέλεσης εργασιών διαμόρφωσης και αναστήλωσης,,,,Αρχαιολογικός Χώρος, 
Βραχοσκεπή Μποϊλα,,Αναξιοποίητο,,,,Αρχαιολογικός Χώρος, 
Βρεστό,,,,,,Αρχαιολογικός Χώρος, 
Βρουλιά,,,,,,Αρχαιολογικός Χώρος, 
Βυζαντινά και Μεταβυζαντινά Μνημεία Αιανής,,,,,,Αρχαιολογικός Χώρος, 
Βυζαντινά και Μεταβυζαντινά Μνημεία Βελβεντού,,,,,,Αρχαιολογικός Χώρος, 
Βυζαντινά μνημεία νησίδας Αγίου Αχιλλείου Μικρής Πρέσπας,Καθημερινά: από 8:30 π.μ. έως 15:00 μ.μ.,,,,,Αρχαιολογικός Χώρος, 
Βυζαντινά μνημεία Πρεσπών,Καθημερινά: από τις 8:30 π.μ. έως 15:00 μ.μ.,,,,,Αρχαιολογικός Χώρος, 
Βυζαντινή Ακρόπολη Σερρών,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Βυζαντινή Μαρώνεια,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Βυζαντινό Κάστρο Χρυσής,,,,,,Αρχαιολογικός Χώρος, 
Γαλεριανό Συγκρότημα,"Δευτέρα και Πέμπτη, 8.00 π.μ.- 15.00 μ.μ.","Τρίτη, Τετάρτη, Παρασκευή - Κυριακή: κλειστός. Ο χώρος είναι επισκέψιμος κατόπιν συνεννόησης με την Υπηρεσία.",,,,Αρχαιολογικός Χώρος, 
Γαύδος,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Γέρακας Λακωνίας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Γεράκι,,"Κυριακή: κλειστός
Από 8η Δεκεμβρίου  ο χώρος θα παραμείνει προσωρινά κλειστός.",,Από 1η Ιουλίου έως 8η Οκτωβρίου 2012: 8:00-15:00,Από 8η Οκτωβρίου έως 7η Δεκεμβρίου 2012: 8:00-15:00,Αρχαιολογικός Χώρος, 
Γίτανα,,,,,Ο αρχαιολογικός χώρος είναι ανοικτός κατόπιν συνεννόησης με τη ΛΒ΄ Ε.Π.Κ.Α.,Αρχαιολογικός Χώρος, 
Γκρόττα Νάξου,,,,,,Αρχαιολογικός Χώρος, 
Γλύφα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Γλύφα (Νεκροταφείο ταφικών κύκλων),,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Γόρτυνα,,,,,"Από 1η Νοεμβρίου έως 31 Μαρτίου 2010 
08.30-15.00",Αρχαιολογικός Χώρος, 
Γουρνιά,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου : 08:30-15:00,Αρχαιολογικός Χώρος, 
Δάμος Καλύμνου,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Δαύλεια,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Δάφνη,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Δαφνούσια Λοκρίδας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Δελφοί,Καθημερινά: 7.30 – 20.00(Τελευταία είσοδος 19.30),,,,,Αρχαιολογικός Χώρος, 
Δενδρά,,,,8:00-15:00,,Αρχαιολογικός Χώρος, 
Δήλος,"Από 1-4-14 έως 31-10-14. Διευρυμένο ωράριο καθημερινά από 08:00 έως 20:00, επτά ημέρες την εβδομάδα.",,,,,Αρχαιολογικός Χώρος, 
Δημητριάδα,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
