   ,ΤΙΤΛΟΣ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΚΩΔΙΚΟΣ ΔΗΜΟΥ,ΔΗΜΟΣ,ΤΗΛΕΦΩΝΟ,EMAIL,ΤΑΞΗ,ΗΜ.ΕΚΔΟΣΗΣ ΑΔΕΙΑΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΚΑΤΑΛΛΥΜΑΤΩΝ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΑΤΟΜΩΝ
72,ΥΨΟΣ ΙΝΤΕΑΛ,ΠΡΟΣΑΛΕΝΤΗΣ ΒΑΣΙΛΕΙΟΣ,ΥΨΟΣ Κ.ΚΟΡΑΚΙΑΝΑΣ,49100,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,0661-93243,,0Γ,6/3/1986,1986,92,0,276
73,ΚΟΡΜΑΡΙ,ΣΑΒΒΑΝΗΣ ΙΩΑΝΝΗΣ,ΔΑΣΙΑ Κ.ΚΟΡΑΚΙΑΝΑΣ,49100,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,0661-93587,,0Α,3/30/1983,1983,100,0,300
74,ΔΙΟΝΥΣΟΣ,ΕΥΡΩΚΑΜΠΛΑΝΤ ΞΕΝ. & ΤΟΥΡ. ΕΠΙΧ.Α.Ε.,ΛΙΜΝΗ ΚΑΤΩ ΚΟΡΑΚΙΑΝΑΣ,49083,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,26610-91417,,0Γ,,1977,107,50,271
75,ΚΕΡΚΥΡΑ ΚΑΜΠΙΝΓΚ,ΚΟΡΦΟΥ Α.Ε ΥΨΟΣ ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ,ΥΨΟΣ Κ.ΚΟΡΑΚΙΑΝΑΣ,49100,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,2661093579,,0Γ,1/31/1978,1978,70,0,210
76,ΑΚΤΗ ΚΑΡΔΑ,ΚΑΜΠΚΟ Α.Ε ΞΕΝ. ΤΟΥΡ. ΕΠΙΧ/ΣΕΙΣ,ΔΑΣΙΑ  ΚΕΡΚΥΡΑ,49100,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,2661093595,,0Α,,,101,26,508
77,ΚΟΝΤΟΚΑΛΙ ΜΠΗΤΣ ΙΝΤΕΡΝΑΣΙΟΝΑΛ,ΠΕΡΟΥΛΗΣ ΓΕΡΑΣΙΜΟΣ,ΚΟΝΤΟΚΑΛΙ,49100,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,0661-91202,,0Γ,7/6/1982,1982,93,0,279
78,ΚΑΡΟΥΣΑΔΕΣ,ΠΕΤΡΑΚΟΥ ΕΛΕΝΗ,ΚΑΡΟΥΣΑΔΕΣ,49081,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,0663-31415,,0Γ,7/25/1983,1983,63,0,189
79,ΠΑΡΑΔΕΙΣΟΣ,ΤΖΩΡΑΣ ΔΗΜ & ΧΡΙΣΤ. & ΣΙΑ ΟΕ,ΠΥΡΓΙ ΑΓΙΟΥ ΜΑΡΚΟΥ,49100,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,0661-93557,,0Α,1/20/1981,1981,108,75,299
80,ΙΠΠΟΚΑΜΠΟΣ,ΑΝΑΓΝΩΣΤΗΣ ΑΕ ΞΕΝ.ΕΜΠ.ΒΙΟΜ/ΚΗ,ΜΕΣΣΟΓΓΗ,49080,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,0661-75364/76212,,0Γ,8/1/1980,1980,70,0,210
81,ΒΑΤΟΣ,ΧΟΤΖΑ ΑΦΟΙ ΑΕ,ΒΑΤΟΣ ΠΕΛΕΚΑ,49100,Ιονίων Νησιών,Κέρκυρας,9118,ΚΕΡΚΥΡΑΣ,0661-94269/94505,,0Γ,7/27/1982,1982,37,0,111
82,ΔΕΣΙΜΗ ΑΚΤΗ,ΚΑΒΒΑΔΑ ΔΗΜΗΤΡΙΟΥ ΑΦΟΙ Ο.Ε.,ΒΛΥΧΟ ΛΕΥΚΑΔΑΣ,31100,Ιονίων Νησιών,Λευκάδας,9121,ΛΕΥΚΑΔΑΣ,26450 95328,,0Γ,,1978,42,,126
83,ΚΑΡΥΩΤΕΣ ΑΚΤΗ,ΑΙΚΑΤΕΡΙΝΗ ΛΙΒΙΤΣΑΝΟΥ,ΚΑΡΥΩΤΕΣ,31100,Ιονίων Νησιών,Λευκάδας,9121,ΛΕΥΚΑΔΑΣ,2645071103,,0Γ,5/9/1995,1995,29,,87
84,ΑΚΤΗ ΚΑΘΙΣΜΑ,ΒΛΑΧΟΥ ΜΑΡΙΑ & ΧΑΡΑΛΑΜΠΟΣ,ΔΕΣΚΑ ΕΞΑΝΘΕΙΑΣ,31080,Ιονίων Νησιών,Λευκάδας,9121,ΛΕΥΚΑΔΑΣ,2645024805,,0Γ,3/28/2006,2006,40,0,160
85,ΚΑΣΤΡΙ,ΑΦΕΝΤΟΥΛΙΔΗΣ ΣΑΒΒΑΣ ΤΟΥ ΠΑΝΑΓΙΩΤΗ,ΜΑΡΑΝΤΟΧΩΡΙ ΛΕΥΚΑΔΑΣ,31100,Ιονίων Νησιών,Λευκάδας,9121,ΛΕΥΚΑΔΑΣ,0645-31900/1,,0Β,3/21/2000,2000,75,0,300
86,ΕΠΙΣΚΟΠΟΣ ΜΠΗΤΣ,ΛΟΓΟΘΕΤΗ ΓΕΩΡΓΙΑ,ΕΠΙΣΚΟΠΟΣ,31081,Ιονίων Νησιών,Λευκάδας,9121,ΛΕΥΚΑΔΑΣ,0645-71388,,0Γ,,1995,37,0,135
87,ΑΚΤΗ ΚΑΜΠΙΝΓΚ ΑΣΠΡΟΒΑΛΤΑΣ,Υ/Α Ε.Ο.Τ. ΚΑΜΠΙΝΓΚ ΑΣΠΡΟΒΑΛΤΑΣ,ΑΣΠΡΟΒΑΛΤΑ,57021,Κεντρικής Μακεδονίας,Θεσσαλονίκης,9027,ΒΟΛΒΗΣ,0397-22249,,0Α,5/18/1982,1982,710,10,2130
88,ΡΕΤΖΙΚΑ,ΡΕΤΖΙΚΑ ΣΩΤΗΡΙΑ,,575 00,Κεντρικής Μακεδονίας,Θεσσαλονίκης,9029,ΘΕΡΜΑΪΚΟΥ,23920 410 90,,0Γ,6/5/2004,2004,30,5,135
89,ΕΛΛΑΣ,Α.Ε. ΞΕΝΟΔΟΧΕΙΑΚΗ ΕΤΑΙΡΕΙΑ ΕΛΛΑΣ,ΠΑΡΑΛΙΑ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352041490,,0Γ,7/28/1973,1973,88,,264
90,ΝΙC,ΖΗΣΚΑ ΚΩΝΣΤΑΝΤΙΝΑ,ΠΛΑΤΑΜΩΝΑΣ ΠΙΕΡΙΑΣ,60065,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,0352-43316,,0Γ,2/26/1999,1999,30,0,120
91,ΝΕΦΕΛΗ,Ο.Ε. ΕΛΕΝΗ ΠΑΠΑΓΕΩΡΓΙΟΥ & ΣΙΑ,ΠΑΡΑΛΙΑ ΝΕΟΥ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352041643,,0Γ,3/12/1998,1998,60,,240
92,ΑΚΤΗ ΠΟΣΕΙΔΩΝΟΣ,Α.Ε. ΤΖΟΒΑΣ ΤΟΥΡΙΣΤΙΚΕΣ ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ,ΠΑΡΑΛΙΑ ΝΕΟΥ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,"2352041654, 41792",,0Γ,8/13/1973,1973,126,,504
93,ΚΑΛΑΜΑΚΙ,Ο.Ε. ΑΦΟΙ Ν. ΠΑΓΩΝΗ-Π.ΜΥΡΩΔΗ-Η.ΤΑΣΤΣΟΓΛΟΥ & ΣΙΑ,ΠΛΑΤΑΜΩΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352041676,,0Α,8/10/1977,1977,160,,480
94,NIC,ΖΗΣΚΑ-ΨΑΡΡΑ ΚΩΝΣΤΑΝΤΙΑ,,,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,"2352043316, 41189",,0Γ,,1999,30,,120
95,ΟΡΦΕΑΣ,Ο.Ε. ΓΕΩΡΓΙΟΣ Ι. ΓΚΑΡΑΣ-ΔΑΦΝΗ Ι. ΓΚΑΡΑ,ΠΑΡΑΛΙΑ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,"2352091274, 91369",,0Γ,5/23/1989,1989,79,,237
96,ΚΑΣΤΡΟ,KOUΡΟΥΚΑΦΟΠΟΥΛΟΥ ΑΣΠΑΣΙΑ       .,ΠΑΡΑΛΙΑ ΝΕΟΥ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352041252,,0Γ,20/11/0096,1995,37,15,208
97,ΓΚΑΡΑΣ,ΓΚΑΡΑΣ ΔΗΜΗΤΡΙΟΣ,ΠΑΡΑΛΙΑ ΣΚΟΤΙΝΑΣ Ν. ΠΙΕΡΙΑΣ,600 63,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,"2352091414, 91387",,0Γ,6/15/2000,2000,20,,80
98,ΑΚΡΟΓΙΑΛΙ,ΓΚΑΡΑΣ ΜΑΡΗΣ,ΠΑΡΑΛΙΑ ΣΚΟΤΙΝΑΣ Ν.ΠΙΕΡΙΑΣ,600 63,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352091478,,0Γ,6/14/2004,2004,38,,152
99,ΑΡΙΩΝ,Ο.Ε. ΠΑΠΑΘΑΝΑΣΙΟΥ ΝΙΚ. & ΑΦΟΙ ΕΥΑΓ. ΠΑΠΑΘΑΝΑΣΙΟΥ,ΠΑΡΑΛΙΑ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,"2352041115, 41500",,0Γ,5/6/1981,1981,57,,171
100,ΑΦΡΟΔΙΤΗ,Ο.Ε. ΓΕΩΡΓΙΟΣ ΓΚΑΡΑΣ-ΑΦΡΟΔΙΤΗ ΓΚΑΡΑ-ΜΑΡΙΑ ΓΚΑΡΑ,ΠΑΡΑΛΙΑ ΣΚΟΤΙΝΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352091300,,0Γ,6/25/2010,1996,60,,240
101,ΦΙΛΙΠΠΕΙΟΝ,ΤΟΠΑΛΟΓΛΟΥ ΕΛΕΝΗ,ΠΑΡΑΛΙΑ ΝΕΟΥ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352041208,,0Γ,5/5/2000,2000,34,14,192
102,ΠΛΑΤΑΜΩΝ,ΚΟΣΜΑ ΡΟΔΟΠΗ,,60065,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,0352-41301,,0Γ,1/24/1989,1989,68,0,272
103,ΕΣΠΕΡΙΔΕΣ,ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ CAMPING ESPERIDES Α.Ε.,ΠΑΡΑΛΙΑ ΝΕΟΥ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352041066,,0Γ,11/9/1993,1993,67,9,237
104,GOLDEN BEACH,Ο.Ε. ΑΦΟΙ Κ. ΧΑΡΙΤΟΥ,ΠΑΡΑΛΙΑ ΝΕΟΥ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,"2352041788, 42129",,0Γ,10/20/1999,1999,50,,200
105,ΠΑΡΑΔΕΙΣΟΣ,ΚΩΤΟΥΛΑΣ ΝΙΚΟΛΑΟΣ,ΠΛΑΤΑΜΩΝΑ Ν. ΠΙΕΡΙΑΣ,60065,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352042995,,0Γ,7/16/1996,1996,60,9,276
106,ΗΡΑΚΛΕΙΑ,Ο.Ε. ΑΦΟΙ Α. ΤΖΙΟΥΒΑΡΑ ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ,ΠΑΡΑΛΙΑ ΠΑΝΤΕΛΕΗΜΟΝΑ Ν. ΠΙΕΡΙΑΣ,600 65,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352041403,,0Γ,6/18/1982,1982,50,,150
107,ΜΥΤΙΚΑΣ,ΠΑΥΛΙΔΗΣ ΕΥΑΓΓΕΛΟΣ,ΓΡΙΤΣΑ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,602 00,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352061275,,0Γ,5/6/1981,1981,52,,156
108,ΣΥΛΒΙΑ,ΠΑΠΑΓΕΩΡΓΙΟΥ ΘΕΟΔΩΡΟΣ,ΠΛΑΚΑ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,602 00,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352022553,,0Γ,8/13/1974,1974,45,,
109,ΝΗΡΕΑΣ,ΒΕΡΡΟΙΑΣ ΙΩΑΝΝΗΣ,ΒΑΡΙΚΟ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,602 00,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,23520 41403,,0Γ,6/13/1989,1985,100,0,324
110,ΟΛΥΜΠΙΟΣ ΖΕΥΣ,Α.Ε. ΟΛΥΜΠΙΟΣ ΖΕΥΣ ΤΟΥΡ/ΚΩΝ & ΞΕΝ/ΚΩΝ ΕΠΙΧ/ΣΕΩΝ,ΠΛΑΚΑ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,600 63,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352022115,,0Α,,1972,100,,300
111,ΕΥΡΙΔΙΚΗ,ΒΑΡΔΑΚΑΣ ΓΡΗΓΟΡΗΣ,ΓΡΙΤΣΑ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,602 00,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,"2352061261, 61262",,0Γ,8/3/1973,1973,216,,648
112,ΕΛΙΣΣΑΒΕΤ,ΒΥΖΑΛΗΣ ΙΟΡΔΑΝΗΣ,ΒΑΡΙΚΟ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,60200,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352061370,,0Γ,2/22/1996,1996,45,0,180
113,ΧΑΡΙΛΑΟΣ,ΤΖΙΑΜΙΧΑΣ ΝΙΚΟΛΑΟΣ,ΠΛΑΚΑ ΛΙΤΟΧΩΡΟΥ,60063,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,0352-81760,,0Β,7/8/1997,1997,30,0,120
114,ΒΑΡΙΚΟ ΜΠΗΤΣ,Ο.Ε. ΓΕΩΡΓΙΟΣ & ΑΙΚΑΤΕΡΙΝΗ ΓΙΑΝΝΙΚΗ,ΒΑΡΙΚΟ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,602 00,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352031478,,0Γ,11/20/1976,1996,45,3,192
115,ΣΤΟΛΟΣ,ΤΣΙΝΤΣΙΦΑΣ ΙΩΑΝΝΗΣ,ΒΑΡΙΚΟ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,60200,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352061266,,0Γ,2/22/1996,1996,43,0,190
116,GOLD BEACH,ΚΑΤΣΑΜΠΕΚΗ ΠΑΝΑΓΙΩΤΑ,ΒΑΡΙΚΟ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,602 00,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352061395,,0Γ,11/20/1996,1996,50,6,174
117,ΑΚΤΗ ΟΛΥΜΠΟΥ,ΥΙΟΙ Γ. Τ6ΟΥΛΙΟΠΟΥΛΟΥ & ΣΙΑ Ο.Ε. ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ,ΠΛΑΚΑ ΛΙΤΟΧΩΡΟΥ Ν. ΠΙΕΡΙΑΣ,600 63,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,2352022112,,0Α,1/3/1972,1972,107,26,532
118,ΚΑΜΠΙΝΓΚ ΟΛΥΜΠΟΥ,ΥΑ/Ε.Ο.Τ. ΚΑΜΠΙΝΓΚ ΟΛΥΜΠΟΥ,,60063,Κεντρικής Μακεδονίας,Πιερίας,9046,ΔΙΟΥ-ΟΛΥΜΠΟΥ,0352-91296,,0Α,5/18/1982,1982,615,0,1845
119,ΟΔΥΣΣΕΙΑ,ΤΟΥΡΙΣΤΙΚΕΣ ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΚΟΡΙΝΟΥ Α.Ε.,ΠΑΡΑΛΙΑ ΚΟΡΙΝΟΥ Ν. ΠΙΕΡΙΑΣ,60062,Κεντρικής Μακεδονίας,Πιερίας,9047,ΚΑΤΕΡΙΝΗΣ,2351042542,,0Β,9/9/1997,1997,47,1,192
120,ΕΔΕΜ,ΤΟΥΡΙΣΤΙΚΕΣ & ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ Σ. ΧΙΟΝΙΔΗΣ,ΟΛΥΜΠΙΑΚΗ ΑΚΤΗ Ν. ΠΙΕΡΙΑΣ,601 00,Κεντρικής Μακεδονίας,Πιερίας,9047,ΚΑΤΕΡΙΝΗΣ,2351061107,,0Α,4/16/1991,1991,100,20,480
121,ΚΡΙΣΤΙ,ΠΟΥΤΟΥΡΙΔΟΥ ΚΡΥΣΤΑΛΛΙΑ,ΠΕΡΙΣΤΑΣΗ Ν. ΠΙΕΡΙΑΣ,601 00,Κεντρικής Μακεδονίας,Πιερίας,9047,ΚΑΤΕΡΙΝΗΣ,2351061354,,0Γ,2/22/1996,1996,30,,120
122,ΑΓΙΑΝΝΗΣ,ΜΕΤΑΛΛΙΔΗΣ ΝΙΚΟΛΑΟΣ ΤΟΥ ΑΝΔΡΕΑ,ΜΕΘΩΝΗ Ν. ΠΙΕΡΙΑΣ,600 66,Κεντρικής Μακεδονίας,Πιερίας,9048,ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,"2352051840, 41386",,0Γ,8/3/1972,1972,60,0,180
123,ΑΚΤΗ ΠΟΣΕΙΔΩΝΟΣ-POSEIDON BEACH,"ΤΖΟΒΑΣ-ΤΟΥΡ/ΚΕΣ,ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΑΕ",,60065,Κεντρικής Μακεδονίας,Πιερίας,,,0352-41654,,0Γ,6/1/1995,1995,126,0,504
124,ΙΕΡΙΣΣΟΣ,ΑΞΙΟΠΟΙΗΣΗ Τ.ΑΚ.Δ.ΑΡΙΣΤΟΤΕΛΗ ΔΗΜΟΤΙΚΗ Α.Ε.,ΙΕΡΙΣΣΟΣ,630 75,Κεντρικής Μακεδονίας,Χαλκιδικής,9056,ΑΡΙΣΤΟΤΕΛΗ,2377021125,,0Γ,6/3/2003,2003,75,,300
125,ΚΟΜΙΤΣΑ,ΜΑΛΛΙΑΡΗΣ ΕΥΑΓΓΕΛΟΣ,ΝΕΑ ΡΟΔΑ,630 75,Κεντρικής Μακεδονίας,Χαλκιδικής,9056,ΑΡΙΣΤΟΤΕΛΗ,6972327146,,0Β,11/2/2001,2001,48,2,200
126,ΟΥΡΑΝΟΥΠΟΛΗ,ΚΑΙΜΑΚΗΣ Σ.& ΣΙΑ Ο.Ε.,ΟΥΡΑΝΟΥΠΟΛΗ,63075,Κεντρικής Μακεδονίας,Χαλκιδικής,9056,ΑΡΙΣΤΟΤΕΛΗ,2377071171,,0Γ,3/19/1996,1988,78,,234
127,ΚΟΡΑΛΙ,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΦΟΙ Τ.Ξ.Ε. Α.Ε.     .,ΟΛΥΜΠΙΑΔΑ,57014,Κεντρικής Μακεδονίας,Χαλκιδικής,9056,ΑΡΙΣΤΟΤΕΛΗ,0376-51304,,0Γ,7/31/1992,1992,92,0,276
128,ΜΕΓΑΛΗ ΑΜΜΟΣ,ΓΙΟΥΒΑΝΙΚΑΣ ΣΤΑΥΡΟΣ,ΜΕΓΑΛΗ ΑΜΜΟΣ,0,Κεντρικής Μακεδονίας,Χαλκιδικής,9056,ΑΡΙΣΤΟΤΕΛΗ,,,0Γ,7/12/2000,2000,75,0,300
129,ΟΛΥΜΠΙΑΣ,ΚΑΝΕΛΛΗΣ ΑΘΑΝΑΣΙΟΣ,ΟΛΥΜΠΙΑΔΑ,57014,Κεντρικής Μακεδονίας,Χαλκιδικής,9056,ΑΡΙΣΤΟΤΕΛΗ,0376 31295,,0Β,5/6/1981,1981,147,0,449
130,ΑΛΥΚΕΣ,ΦΩΤΕΙΝΗ ΧΡΙΣΤΟΔΟΥΛΟΥ & ΣΙΑ Ο.Ε.,ΑΜΜΟΥΛΙΑΝΗ,63075,Κεντρικής Μακεδονίας,Χαλκιδικής,9056,ΑΡΙΣΤΟΤΕΛΗ,2377051379,,0Γ,1/1/1996,1996,53,,212
131,ΚΑΜΠΙΝΓΚ ΚΡΥΟΠΗΓΗΣ,ΚΡΥΟΠΗΓΗ Α.Ε.,ΚΡΥΟΠΗΓΗ ΚΑΣΣΑΝΔΡΑΣ,63077,Κεντρικής Μακεδονίας,Χαλκιδικής,9057,ΚΑΣΣΑΝΔΡΑΣ,2374051100,,0Α,2/27/1974,1974,105,0,315
132,CAMPING ΚΑΛΑΝΔΡΑΣ,Κ.ΑΝΑΓΝΩΣΤΑΚΗΣ κ ΥΙΟΣ ΟΕ,ΠΟΣΕΙΔΙ,630 77,Κεντρικής Μακεδονίας,Χαλκιδικής,9057,ΚΑΣΣΑΝΔΡΑΣ,23740 41550,,0Α,1/1/1974,1974,120,0,360
133,ΚΑΜΠΙΝΓΚ ΠΑΛΙΟΥΡΙΟΥ,Ε.Τ.Α. Α.Ε.,ΠΑΛΙΟΥΡΙ,63085,Κεντρικής Μακεδονίας,Χαλκιδικής,9057,ΚΑΣΣΑΝΔΡΑΣ,2374092169,,0Α,2/27/1974,1971,100,0,300
134,ΠΟΡΤΟ ΛΟΥΤΡΑ,ΦΑΡΓΚΑΝΗΣ ΠΑΡΑΣΚΕΥΗ & ΜΙΧΑΛΗΣ,ΛΟΥΤΡΑ ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,63085,Κεντρικής Μακεδονίας,Χαλκιδικής,9057,ΚΑΣΣΑΝΔΡΑΣ,0374-71123,,0Γ,11/20/1987,1987,80,0,240
135,ΚΕΡΑΜΑΡΙΑ,ΜΩΡΑΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΚΕΡΑΜΑΡΙΑ ΠΕΥΚΟΧΩΡΙΟΥ,63085,Κεντρικής Μακεδονίας,Χαλκιδικής,9057,ΚΑΣΣΑΝΔΡΑΣ,0375-61464,,0Γ,,1996,53,0,212
136,ΣΑΝΗ,ΣΑΝΗ Α.Ε ΑΝΑΠΤΥΞΕΩΣ & ΤΟΥΡΙΣΜΟΥ,ΚΑΣΣΑΝΔΡΑ,63077,Κεντρικής Μακεδονίας,Χαλκιδικής,9057,ΚΑΣΣΑΝΔΡΑΣ,0374-31224,,0Α,5/20/1977,1977,409,0,1227
137,ΓΑΛΑΖΙΟ ΟΝΕΙΡΟ-BLUE DREAM,ΤΟΥΡ/ΚΕΣ ΑΓΡΟΤΙΚΕΣ ΕΠΙΧ/ΣΕΙΣ Α.Ε.,ΠΥΡΓΟΣ ΣΤΑΥΡΟΝΙΚΗΤΑ,63077,Κεντρικής Μακεδονίας,Χαλκιδικής,9057,ΚΑΣΣΑΝΔΡΑΣ,0374-31249,,0Α,4/11/1995,1995,207,9,621
138,ΑΙΓΕΑΣ,ΥΙΟΙ Ε.&Κ. ΚΑΤΣΙΡΜΑ Ο.Ε.,Ν.ΚΑΛΛΙΚΡΑΤΕΙΑ,630 80,Κεντρικής Μακεδονίας,Χαλκιδικής,9058,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,,,0Γ,1/1/1992,1992,60,,240
139,ΑΚΤΗ ΟΥΖΟΥΝΗ,ΟΥΖΟΥΝΗ ΑΦΟΙ ΤΟΥΡ. ΕΠΙΧ.Α.Ε.,ΑΓΙΑ ΜΑΜΑ,63200,Κεντρικής Μακεδονίας,Χαλκιδικής,9058,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,2373042100,,0Γ,11/14/1988,1988,72,0,216
