NAME1,ADDRESS,TK,NAME, 
Αρχαιολογικό Μουσείο Αστυπάλαιας,Πέρα Γιαλός,,Αστυπάλαια, 
Αρχαιολογικό Μουσείο Αταλάντης,Βαρώνου Βελλίου 21,35200,Αταλάντη, 
Αρχαιολογικό Μουσείο Βαθέος Ιθάκης,Βαθύ Ιθάκης,28300,Ιθάκη, 
Αρχαιολογικό Μουσείο Βαθέως Σάμου,Βαθύ,,Σάμος, 
Αρχαιολογικό Μουσείο Βέροιας,Ανοίξεως 47,59100,Βέροια, 
Αρχαιολογικό Μουσείο Βραυρώνας,Μαρκόπουλο Μεσογαίας,,Βραυρώνα, 
Αρχαιολογικό Μουσείο Δελφών,Δελφοί,33054,Δελφοί, 
Αρχαιολογικό Μουσείο Δήλου,Μύκονος,84600,Μύκονος, 
Αρχαιολογικό Μουσείο Δράμας,Πατριάρχου Διονυσίου 2,66100,Δράμα, 
Αρχαιολογικό Μουσείο Ελευσίνας,,19200,Ελευσίνα, 
Αρχαιολογικό Μουσείο Ηγουμενίτσας,28ης Οκτωβρίου 2,461 00,Ηγουμενίτσα, 
Αρχαιολογικό Μουσείο Ήλιδας,,,Ήλιδα, 
Αρχαιολογικό Μουσείο Ηρακλείου,Ξανθουδίδου 1,71202,Ηράκλειο, 
Αρχαιολογικό Μουσείο Θάσου,Λιμένας Θάσου,64004,Θάσος, 
Αρχαιολογικό Μουσείο Θεσσαλονίκης,Μαν. Ανδρόνικου 6,54621,Θεσσαλονίκη, 
Αρχαιολογικό Μουσείο Θηβών,"Θρεψιάδου 1, πλατεία Κεραμοπούλλου",,Θήβα, 
Αρχαιολογικό Μουσείο Θήρας,,,Φηρά, 
Αρχαιολογικό Μουσείο Ίου,,,Ιος, 
Αρχαιολογικό Μουσείο Ισθμίας,Κυρά-Βρύση Ισθμίας,20 100,Ισθμια, 
Αρχαιολογικό Μουσείο Ιωαννίνων,Πλατεία 25ης Μαρτίου 6,45221,Ιωάννινα, 
Αρχαιολογικό Μουσείο Καβάλας,Ερυθρού Σταυρού 17,65110,Καβάλα, 
Αρχαιολογικό Μουσείο Καλύμνου,,,Κάλυμνος, 
Αρχαιολογικό Μουσείο Κάμπου Ικαρίας,,,Κάμπος, 
Αρχαιολογικό Μουσείο Καρδίτσας,Λαχανά 1 και Τζέλλα,43100,Θεσσαλία, 
Αρχαιολογικό Μουσείο Καρπάθου (υπό ίδρυση),,,Κάρπαθος, 
Αρχαιολογικό Μουσείο Καρύστου,,34001,Κάρυστος, 
Αρχαιολογικό Μουσείο Καστελλόριζου,,,Μεγίστη, 
Αρχαιολογικό Μουσείο Κέας,"Αντωνίου Λαζαρίδου, Ιουλίδα",,Κέα, 
Αρχαιολογικό Μουσείο Κεραμεικού,Ερμού 148,,Αθήνα, 
Αρχαιολογικό Μουσείο Κέρκυρας,Βράιλα 1,49100,Κέρκυρα, 
Αρχαιολογικό Μουσείο Κιλκίς,"Ουτσκούνη & Ρεγκούκου, Κιλκίς",61100,Κιλκίς, 
Αρχαιολογικό Μουσείο Κιμώλου,Χωριό Κιμώλου,,Κίμωλος, 
Αρχαιολογικό Μουσείο Κισάμου,Πλατεία Στρατηγού Τζανάκη,73400,Κίσαμος, 
Αρχαιολογικό Μουσείο Κολώνας Αίγινας,Αίγινα,18010,Αίγινα, 
Αρχαιολογικό Μουσείο Κομοτηνής,Α. Συμεωνίδη 4,69100,Κομοτηνή, 
Αρχαιολογικό Μουσείο Κυθήρων,,80100,Χώρα Κυθήρων, 
Αρχαιολογικό Μουσείο Κω,Πλατεία Ελευθερίας,85300,Κως, 
Αρχαιολογικό Μουσείο Λαμίας,Κάστρο Λαμίας,35100,Λαμία, 
Αρχαιολογικό Μουσείο Λάρισας,31ης Αυγούστου,41221,Λάρισα, 
Αρχαιολογικό Μουσείο Λαυρίου,Ανδρέα Κορδέλλα 1,,Λαύριο, 
Αρχαιολογικό Μουσείο Λήμνου,"Ρωμέικος Γυαλός, Μύρινα",814 00,Μύρινα, 
Αρχαιολογικό Μουσείο Λυκόσουρας,,,Λυκοσούρα, 
Αρχαιολογικό Μουσείο Μαραθώνα,"Πλαταιών 114, Βρανάς",,Μαραθώνας, 
Αρχαιολογικό Μουσείο Μεγάρων,Δημάρχου Γ. Μενιδιάτη 22,19100,Μέγαρα, 
Αρχαιολογικό Μουσείο Μεσσηνίας,Μπενάκη και Αγίου Ιωάννου,24100,Καλαμάτα, 
Αρχαιολογικό Μουσείο Μήλου,Πλάκα,,Μήλος, 
Αρχαιολογικό Μουσείο Μυκηνών,,,Μυκήνες, 
Αρχαιολογικό Μουσείο Μυκόνου,Μύκονος,84600,Μύκονος, 
Αρχαιολογικό Μουσείο Μυστρά,,23100,Μυστράς, 
Αρχαιολογικό Μουσείο Μυτιλήνης,Α. Εφταλιώτη  7 (Παλαιό κτίριο) και 8ης Νοεμβρίου (Νέο κτίριο),811 00,Λέσβος, 
Αρχαιολογικό Μουσείο Νάξου,Χώρα,,Νάξος, 
Αρχαιολογικό Μουσείο Ναυπλίου,Πλατεία Συντάγματος,,Ναύπλιο, 
Αρχαιολογικό Μουσείο Νεμέας,,,Νεμέα, 
Αρχαιολογικό Μουσείο Νικόπολης,3o χλμ. Εθν. οδού Πρέβεζας - Ιωαννίνων,48100,Νικόπολη, 
Αρχαιολογικό Μουσείο Ολυμπίας,Αρχαία Ολυμπία,27 065,Ολυμπία, 
Αρχαιολογικό Μουσείο Παλαιόπολης,Μον Ρεπό,49100,Κέρκυρα, 
Αρχαιολογικό Μουσείο Παλαιόπολης,Παλαιόπολη,,Άνδρος, 
Αρχαιολογικό Μουσείο Πάρου,Παροικιά,,Πάρος, 
Αρχαιολογικό Μουσείο Πατρών,Νέα Εθνική οδός Πατρών - Αθηνών 38-40,26442,Πάτρα, 
Αρχαιολογικό Μουσείο Πειραιά,Χαριλάου Τρικούπη 31,185 36,Πειραιάς, 
Αρχαιολογικό Μουσείο Πολυγύρου,"Σταδίου 1, Πλατεία Ηρώων",63100,Πολύγυρος, 
Αρχαιολογικό Μουσείο Πόρου,Πλατεία Κορυζή,18020,Πόρος, 
Αρχαιολογικό Μουσείο Πυθαγορείου,,83103,Πυθαγόρειο, 
Αρχαιολογικό Μουσείο Ρεθύμνου,"Τέρμα Χειμάρας, Φορτέτζα",74100,Ρέθυμνο, 
Αρχαιολογικό Μουσείο Ρόδου,Πλατεία Μεγάλου Αλεξάνδρου,85100,Ρόδος, 
Αρχαιολογικό Μουσείο Σαλαμίνας,Πολυχρόνη Λεμπέση 42,18 900,Σαλαμίνα, 
Αρχαιολογικό Μουσείο Σαμοθράκης,Παλαιόπολη,68002,Σαμοθράκη, 
Αρχαιολογικό Μουσείο Σητείας,Εθνική Οδός Σητείας-Πισκοκεφάλου,72300,Σητεία, 
Αρχαιολογικό Μουσείο Σίφνου,Κάστρο,84003,Σίφνος, 
Αρχαιολογικό Μουσείο Σκύρου,,34007,Σκύρος, 
Αρχαιολογικό Μουσείο Σπάρτης,Λυκούργου & Αγίου Νίκωνος,23100,Σπάρτη, 
Αρχαιολογικό Μουσείο Σύμης,,,Σύμη, 
Αρχαιολογικό Μουσείο Σύρου,,,Ερμούπολη, 
Αρχαιολογικό Μουσείο Σχηματαρίου,Τανάγρας 38,,Σχηματάρι, 
Αρχαιολογικό Μουσείο Τεγέας,,22012,Τεγέα, 
Αρχαιολογικό Μουσείο Τήνου,,84200,Τήνος, 
Αρχαιολογικό Μουσείο Φιλίππων,Κρηνίδες,64003,Φίλιπποι, 
Αρχαιολογικό Μουσείο Φλώρινας,Σιδηροδρομικού Σταθμού 3,53100,Φλώρινα, 
Αρχαιολογικό Μουσείο Χαιρώνειας,,32100,Χαιρώνεια, 
Αρχαιολογικό Μουσείο Χαλκίδας,Ελ. Βενιζέλου 13,34100,Χαλκίδα, 
Αρχαιολογικό Μουσείο Χανίων,"Χάληδων 28, Χανιά",,Χανιά, 
Αρχαιολογικό Μουσείο Χίου,Μιχάλων 10,821 00,Χίος, 
Αρχαιολογικό Μουσείο Χώρας,Χώρα Τριφυλίας,,Χώρα, 
Αρχοντικό Βουβάλη,Ενορία Αγίας Τριάδας,,Κάλυμνος, 
Αρχοντικό Γεωργίου Σβαρτς,Αμπελάκια,,Λάρισα,
Αρχοντικό Παύλου Κουντουριώτη,,,Ύδρα, 
Αρχοντικό Ταβανιώτη,,69100,Μαρώνεια,
Βυζαντινή και Μεταβυζαντινή Συλλογή Χανίων,Θεοτοκοπούλου 78,73131,Χανιά, 
Βυζαντινή Συλλογή Παλαιού Φρουρίου Κέρκυρας,Παλαιό Φρούριο Κέρκυρας,,Κέρκυρα, 
Βυζαντινό και Χριστιανικό Μουσείο,Λεωφ. Βασιλίσσης Σοφίας 22,106 75,Αθήνα, 
Βυζαντινό Μουσείο Αντιβουνιώτισσας,,49100,Κέρκυρα, 
Βυζαντινό Μουσείο Βέροιας,Οδός Θωμαΐδος 26,,Βέροια, 
Βυζαντινό Μουσείο Ιωαννίνων,Κάστρο Ιωαννίνων,45221,Ιωάννινα, 
Βυζαντινό Μουσείο Καστοριάς,Πλατεία Δεξαμενής,,Καστοριά, 
Βυζαντινό Μουσείο Φθιώτιδας,,,Υπάτη, 
Βυζαντινό Μουσείο Χίου,Κανάρη 12  Πλατεία Βουνακίου,82100,Χίος, 
Εθνικό Αρχαιολογικό Μουσείο,Πατησίων 44,10682,Αθήνα, 
Εκκλησιαστικό Μουσείο Αλεξανδρούπολης,Πλατεία Μητροπόλεως,,Αλεξανδρούπολη, 
Εκκλησιαστικό Μουσείο Ιεράς Μητροπόλεως Μαρωνείας και Κομοτηνής,Οδός Ξενοφώντος 8,69100,Κομοτηνή, 
Εκκλησιαστικό Μουσείο Σιάτιστας,,,Σιάτιστα, 
Επιγραφικό Μουσείο,Τοσίτσα 1,10682,Αθήνα, 
Ιστορικό Μουσείο Κρήτης,Λυσιμάχου Καλοκαιρινού 7,,Ηράκλειο, 
Κέντρο Μελετών Ακροπόλεως,Μακρυγιάννη 2 - 4,,Αθήνα, 
Κοσμητική Συλλογή Ρόδου,"Πλατεία Αργυροκάστρου, Μεσαιωνική Πόλη",85100,Ρόδος, 
"Κρύπτη Αγίου Δημητρίου, Θεσσαλονίκη",Ι.Ν. Αγίου Δημητρίου,54633,Θεσσαλονίκη, 
"Κτήριο περιοδικών εκθέσεων αρχαιοτήτων ""Παλάτι Ιουστινιάνι""",Κάστρο Χίου,,Χίος, 
Κτίριο Πασά στο Φρούριο Πύλου,,,Πύλος, 
Λαογραφικό και Εθνολογικό Μουσείο Μακεδονίας - Θράκης,"Βασ. ΄Ολγας 68, Θεσσαλονίκη",54642,Θεσσαλονίκη, 
Λαογραφικό Μουσείο Βέροιας,,,Βέροια, 
Μουσειακή συλλογή Νέας Μονής,Νέα Μονή,,Χίος, 
Μουσείο Αρχαίας Αγοράς Αθηνών,Αδριανού 24,10555,Αθήνα, 
Μουσείο Αρχαίας Μεσσήνης,Αρχαία Μεσσήνη,24002,Μαυρομάτι, 
Μουσείο Ασιατικής Τέχνης,Παλαιά Ανάκτορα,49100,Κέρκυρα, 
Μουσείο βασιλικών τάφων Αιγών,,59031,Βεργίνα, 
Μουσείο Βυζαντινής και Μεταβυζαντινής τέχνης,Πλατεία Βουνακίου,,Χίος, 
Μουσείο Βυζαντινού Πολιτισμού,Λεωφ. Στρατού 2,54013,Θεσσαλονίκη, 
Μουσείο Ζακύνθου,Πλατεία Σολωμού,29100,Ζάκυνθος, 
Μουσείο Ιστορίας των Ολυμπιακών Αγώνων της Αρχαιότητας,,27065,Αρχαία Ολυμπία, 
Μουσείο Λευκού Πύργου,Παλαιά παραλία Θεσσαλονίκης,,Θεσσαλονίκη,
Μουσείο Μονής Αγίας Τριάδας Τζαγκαρόλων,,,Επαρχία Κυδωνίας, 
Μουσείο Μονής Αρκαδίου,,,Ρέθυμνο, 
Μουσείο Μονής Γωνιάς,,,Κολυμπάρι, 
Μουσείο Μονής Πρέβελης,,,Επαρχία Αγίου Βασιλείου, 
Μουσείο Ναυτικής Παράδοσης και Σπογγαλιείας Νέας Κούταλης Λήμνου,,81 400,Λήμνος,
Μουσείο Νέας Μονής Χίου,,,Καρυές, 
Μουσείο Παλαιάς Μητρόπολης Σερρών,Ίωνος Δραγούμη 19,,Σέρρες, 
Μουσείο Παύλου και Αλεξάνδρας Κανελλοπούλου,Πανός και Θεωρίας 12,10555,Αθήνα, 
Μουσείο Προϊστορικής Θήρας,Φηρά,84700,Θήρα, 
Μουσείο Πύργου Λυκούργου Λογοθέτη,Πυθαγόρειο,83103,Πυθαγόρειο, 
Μουσείο Πύργου Πικουλάκη,,23062,Αρεόπολη,
Μουσείο Σπετσών,Σπέτσες,18050,Σπέτσες, 
Μουσείο Σχηματαρίου,,,Σχηματάρι, 
Μουσείο της Ιστορίας των Aνασκαφών της Ολυμπίας,,27065,Αρχαία Ολυμπία, 
Μουσείο Ύδρευσης Θεσσαλονίκης,,54627,Θεσσαλονίκη, 
Νέο Αρχαιολογικό Μουσείο Πέλλας,Πέλλα,58005,Πέλλα, 
Νομισματικό Μουσείο,Ελ. Βενιζέλου (Πανεπιστημίου) 12,10671,Αθήνα, 
Οικία Ολυμπιονίκη Κ. Τσικλητήρα - Πύλος,Λιμάνι Πύλου,,Πύλος,
Παλάτι Μεγάλου Μαγίστρου,"Πλατεία Κλεοβούλου, Μεσαιωνική Πόλη",85100,Ρόδος, 
Πύργος Μούρτζινων - Μουσείο/ σταθμός ενημέρωσης του Δικτύου Μουσείων Μάνης,,,Καρδαμύλη, 
Πύργος Ουρανούπολης,Πύργος Ουρανούπολης Χαλκιδικής,,Άκανθος, 
"ΣΠΑΠ, Συνεδριακό και Εκθεσιακό Κέντρο Ολυμπίας",Αρχαία Ολυμπία,27065,Ολυμπία, 
Συλλογή Αγίας Αικατερίνης Σιναϊτών,,71201,Ηράκλειο, 
Συλλογή Αγίου Ματθαίου Σιναϊτών,,71201,Ηράκλειο, 
Συλλογή έργων Βυζαντινής και Μεταβυζαντινής Τέχνης Κυθήρων,Κάτω Λειβάδι Κυθήρων,80100,Λειβάδι Κυθήρων, 
Συλλογή Μονής Χρυσοπηγής,,,Χανιά, 
