   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
11,ΝΤΟΥΓΡΙ,0413Κ011Α0005000,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΝΤΟΥΓΡΙ ΝΕΡΟΜΑΝΑΣΘΕΡΜΟΥ,300 15,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,,26410 61166,ΒΑΣΙΛΕΙΟΣ ΜΠΑΛΛΑΣ,ΒΑΣΙΛΕΙΟΣ ΜΠΑΛΛΑΣ,1983,20,10
12,ΣΕΛΗΝΗ       :,0413Κ011Α0003700,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΤΣΑΛΔΑΡΗ 4ΑΓΡΙΝΙΟΥ,301 00,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,,26410 22788,ΚΩΣΤΑΚΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ,ΙΕΡΕΑΣ ΑΘΑΝΑΣΙΟΣ ΠΙΤΤΑΣ,1960,29,15
13,ΣΟΡΟΚΟΣ,0413Κ011Α0005300,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΜΕΝΙΔΙ ΒΑΛΤΟΥΜΕΝΙΔΙΟΥ,300 16,ΑΜΦΙΛΟΧΙΑΣ,ΜΕΝΙΔΙΟΥ,,26810 88213,ΜΑΓΚΑΚΗ ΘΕΟΦΑΝΕΙΑ,ΜΗΛΙΩΝΗΣ ΝΙΚ. ΚΩΝ/ΝΟΣ,1976,27,14
14,ΤΕΡΨΙΘΕΑ,0413Κ011Α0110901,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΤΕΡΨΙΘΕΑ ΝΑΥΠΑΚΤΙΑΣΑΠΟΔΟΤΙΑΣ,30024,ΝΑΥΠΑΚΤΙΑΣ,ΑΠΟΔΟΤΙΑΣ,,2634041692,ΚΟΝΙΔΑΡΗΣ ΒΑΣΙΛΕΙΟΣ,ΔΗΜΟΣ ΑΠΟΔΟΤΙΑΣ,1974,19,10
15,ΑΚΤΗ,0413Κ012Α0001700,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΓΡΙΜΠΟΒΟΝΑΥΠΑΚΤΟΥ,303 00,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,26340 28464-5,Ξ.Τ.Τ.κ Ε.Ε.ΣΑΚΕΛΑΡΗ-ΝΑΥΠΑΚΤΟΣ ΑΕ,Ξ.Τ.Τ.κ Ε.Ε.ΣΑΚΕΛΑΡΗ-ΝΑΥΠΑΚΤΟΣ ΑΕ,1971,113,61
16,ΑΜΒΡΑΚΙΑ,0413Κ012Α0000100,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΝΔΡΕΑ ΣΤΡΑΤΟΥΑΜΦΙΛΟΧΙΑΣ,305 00,ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ,,26420 22213,ΧΟΤΕΛ ΑΜΒΡΑΚΙΑ ΑΦΟΙ Π. ΚΑΤΣΟΥΔΑ Α.Ε,"ΙΩΑΝΝΗΣ, ΑΝΑΣΤ., ΓΕΩΡΓ, κ ΓΡΗΓ. ΚΑΤΣΟΥΔΑΣ",1980,75,39
17,ΑΝΤΙΡΡΙΟ,0413Κ012Α0004000,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΝΤΙΡΡΙΟΑΝΤΙΡΡΙΟΥ,300 20,ΝΑΥΠΑΚΤΙΑΣ,ΑΝΤΙΡΡΙΟΥ,,26340 31450,ΓΕΩΡΓΙΟΣ ΑΘ.ΚΑΤΣΟΥΔΑΣ,ΑΘΑΝΑΣΙΟΣ ΚΑΤΣΟΥΔΑΣ,1983,21,10
18,ΑΦΡΟΔΙΤΗ,0413Κ012Α0002100,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΑΡΟΔΟΣ ΠΛΑΣΤΗΡΑΝΑΥΠΑΚΤΟΥ,303 00,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,26340 29922,ΝΙΚΟΛΑΟΣ Δ. ΖΩΓΡΑΦΟΣ κ ΣΙΑ ΟΕ,ΝΙΚΟΛΑΟΣ Δ. ΖΩΓΡΑΦΟΣ κ ΣΙΑ ΟΕ,1995,87,40
19,ΔΕΛΦΙΝΙ,0413Κ012Α0005200,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΝΙΔΙ ΑΙΤΩΛ/ΝΙΑΣΜΕΝΙΔΙΟΥ,300 16,ΑΜΦΙΛΟΧΙΑΣ,ΜΕΝΙΔΙΟΥ,,,ΠΑΝΤΙΩΡΑΣ ΣΩΚΡΑΤΗΣ,ΠΑΝΤΙΩΡΑΣ ΣΩΚΡΑΤΗΣ,1998,41,19
20,Η ΕΛΑΤΟΥ,0413Κ012Α0007000,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΕΛΑΤΟΥΑΠΟΔΟΤΙΑΣ,300 24,ΝΑΥΠΑΚΤΙΑΣ,ΑΠΟΔΟΤΙΑΣ,,26340 53000,ΠΟΛΥΚ.ΠΑΠΑΙΩΑΝΝΙΔΗΣ-ΕΛΕΝΗ ΠΑΠΑΙΩΑΝΝΙΔΟΥ ΟΕ,ΚΟΙΝΟΤΗΤΑ ΕΛΑΤΟΥΣ,1980,30,16
21,ΗΛΙΟΝ,0413Κ012Α0027101,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΝΑΥΠΑΚΤΟΣΝΑΥΠΑΚΤΟΥ,30300,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,2634021222,ΚΑΛΑΒΡΟΥΖΙΩΤΗΣ ΝΙΚΟΛΑΟΣ,ΚΑΛΑΒΡΟΥΖΙΩΤΗΣ ΝΙΚΟΛΑΟΣ & ΚΩΝ/ΝΟΣ,2003,19,10
22,ΛΗΤΩ,0413Κ012Α0003500,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΓΡΙΝΙΟ ΑΙΤΩΛ/ΝΙΑΣΑΓΡΙΝΙΟΥ,301 00,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,,26410 23043,Π.ΣΚΕΠΕΤΑΡΗΣ ΚΑΙ ΣΙΑ ΕΕ,Ξ.Ε. ΣΤΑΘΟΠΟΥΛΟΥ-ΣΟΥΜΕΛΗ Ο.Ε.,1964,63,36
23,ΜΠΕΛ ΜΑΡΕ-BELL MARE,0413Κ012Α0006400,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΒΟΝΙΤΣΑ ΑΙΤΩΛ/ΝΙΑΣΑΝΑΚΤΟΡΙΟΥ,300 02,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΝΑΚΤΟΡΙΟΥ,,26430 22394,ΖΑΦΕΙΡΟΥΛΗΣ ΠΑΝ/ΤΗΣ ΤΟΥ ΑΘΑΝΑΣΙΟΥ,ΜΠΕΛΝΤΑΟΣ ΧΡΗΣΤΟΣ ΤΟΥ ΓΕΩΡΓΙΟΥ,1980,56,29
24,ΟΣΚΑΡ,0413Κ012Α0000500,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,Ν.ΣΤΡΑΤΟΥ 6ΑΜΦΙΛΟΧΙΑΣ,305 00,ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ,,26420 22155,ΣΠΥΡΙΔΩΝ ΦΛΩΡΟΣ & ΣΙΑ Ε.Ε.,ΑΘΗΝΑ  Β. ΦΛΩΡΟΥ,1979,54,32
25,ΠΗΓΑΣΟΣ-PEGASUS.,0413Κ012Α0006500,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΒΟΝΙΤΣΑ ΑΙΤΩΛ/ΝΙΑΣΑΝΑΚΤΟΡΙΟΥ,300 02,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΝΑΚΤΟΡΙΟΥ,,26430 23480,ΔΕΛΛΑΣ ΛΑΜΠΡΟΣ-ΜΙΛΤΙΑΔΗΣ,ΔΕΛΛΑΣ ΛΑΜΠΡΟΣ-ΜΙΛΤΙΑΔΗΣ,1993,30,16
26,ΠΛΑΖΑ,0413Κ012Α0108300,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΝΑΥΜΑΧΙΑΣ 37 ΝΑΥΠΑΚΤΟΣΝΑΥΠΑΚΤΟΥ,303 00,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,2634025256,ΚΑΡΒΟΥΝΗΣ ΧΑΡΑΛΑΜΠΟΣ,"ΚΑΡΒΟΥΝΗΣ Χ.,Β.,Φ.,ΒΛΑΣΟΠΟΥΛΟΥ Ε.,ΛΟΥΚΟΠΟΥΛΟΣ Γ.",1979,63,33
27,ΣΙΜΟΣ,0413Κ012Α0005800,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΥΤΙΚΑΣ ΑΙΤΩΛ/ΝΙΑΣΑΛΥΖΙΑΣ,300 19,ΞΗΡΟΜΕΡΟΥ,ΑΛΥΖΙΑΣ,,26460 81380,ΔΗΜΟΠΟΥΛΟΣ ΤΟΜΥ (ΑΘΑΝΑΣΙΟΣ),ΓΡΗΓΟΡΙΟΣ ΑΝ.ΚΟΨΙΔΑΣ,1976,53,28
28,ΤΟΥΡΙΣΤ-TOYRIST,0413Κ012Α0003900,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΑΠΑΣΤΡΑΤΟΥ 51ΑΓΡΙΝΙΟΥ,301 00,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,,26410 26665,ΟΕ ΑΦΟΙ Γ. ΟΙΚΟΝΟΜΟΥ,"ΔΗΜ.Χα ΖΑΧ.ΚΥΛΑΦΗ,ΝΙΚ.ΚΥΛΑΦΗΣ κ ΜΑΡ.ΠΑΝ.ΚΥΛΑΦΗ",1961,69,44
29,ΑΓΝΗ,0413Κ032Α0001500,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,[ΨΑΝΗ]ΝΑΥΠΑΚΤΟΥ,303 00,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,26340 22448,ΤΣΙΟΡΤΟΥ ΚΩΝ/ΝΑ,ΤΣΙΟΡΤΟΥ ΚΩΝ/ΝΑ,1992,22,8
30,ΒΙΛΛΑΤΖ ΙΝΝ,0413Κ032Α0037501,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΝΩ ΧΩΡΑΑΠΟΔΟΤΙΑΣ,30023,ΝΑΥΠΑΚΤΙΑΣ,ΑΠΟΔΟΤΙΑΣ,,2634041433,ΜΕΛΙΣΤΑΣ ΧΑΡΑΛΑΜΠΟΣ,ΜΕΛΙΣΤΑΣ ΑΘΑΝΑΣΙΟΣ,2002,16,8
31,ΓΕΡΑΣΙΜΟΣ,0413Κ032Α0005100,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΕΝΙΔΙ ΒΑΛΤΟΥΜΕΝΙΔΙΟΥ,300 16,ΑΜΦΙΛΟΧΙΑΣ,ΜΕΝΙΔΙΟΥ,,"""26810 88230;""",ΘΕΟΔΩΡΟΥ ΒΑΣΙΛΙΚΗ,ΘΕΟΔΩΡΟΥ ΒΑΣΙΛΙΚΗ,1999,15,5
32,ΓΡΙΒΑΣ,0413Κ032Α0026601,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΚΑΜΠΟΣ- ΣΙΜΟΥΠΥΛΛΗΝΗΣ,30020,ΝΑΥΠΑΚΤΙΑΣ,ΠΥΛΛΗΝΗΣ,,2634031250,ΜΟΥΧΤΟΥΡΗΣ ΧΡΗΣΤΟΣ,ΜΟΥΧΤΟΥΡΗΣ ΧΡΗΣΤΟΣ,2002,22,8
33,ΔΡΥΑΔΕΣ,0413Κ032Α0026801,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΜΠΕΛΑΚΙΩΤΙΣΣΑΝΑΥΠΑΚΤΟΥ,30023,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,2634041633,ΚΑΝΕΛΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,ΚΑΝΕΛΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,2004,10,5
34,ΕΛΛΗ,0413Κ032Α0026901,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΑΡΕΙΑ ΤΡΙΧΩΝΙΔΟΣΠΑΡΑΒΟΛΑΣ,30010,ΑΓΡΙΝΙΟΥ,ΠΑΡΑΒΟΛΑΣ,,2644051437,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΕΛΛΗ,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ,2003,0,0
35,"""ΚΑΒΟ ΜΥΤΙΚΑΣ;-CAVO ΜΥΤΙΚΑΣ.-""",0413Κ032Α0005600,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΥΤΙΚΑΣ ΑΙΤΩΛ/ΝΙΑΣΑΛΥΖΙΑΣ,300 19,ΞΗΡΟΜΕΡΟΥ,ΑΛΥΖΙΑΣ,,26460 81244,BLUE SKY ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΕΠΕ,BLUE SKY ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΕΠΕ,1992,57,28
36,ΚΑΝΑΒΕΪΚΟ,0413Κ032Α0027201,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΝΩ ΧΩΡΑΑΠΟΔΟΤΙΑΣ,30023,ΝΑΥΠΑΚΤΙΑΣ,ΑΠΟΔΟΤΙΑΣ,,2634041077,ΑΦΟΙ ΚΩΣΤΟΓΙΑΝΝΗ ΟΕ,ΑΦΟΙ ΚΩΣΤΟΓΙΑΝΝΗ ΟΕ,2003,14,7
37,ΚΑΤΑΡΡΑΚΤΗΣ 1200,0413Κ032Α0110701,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗΠΑΝΑΙΤΩΛΙΚΟΥ,30100,ΑΓΡΙΝΙΟΥ,ΠΑΝΑΙΤΩΛΙΚΟΥ,,2641047371,ΜΑΡΙΑ ΛΥΜΠΕΡΗ & ΣΙΑ ΟΕ ΚΑΤΑΡΡΑΚΤΗΣ 1200,ΜΑΡΙΑ ΛΥΜΠΕΡΗ & ΣΙΑ ΟΕ ΚΑΤΑΡΡΑΚΤΗΣ 1200,2001,15,5
38,ΝΤΑΛΛΑΣ,0413Κ032Α0027501,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΚΑΤΩ ΜΥΡΤΙΑ ΤΡΙΧΩΝΙΔΟΣΘΕΡΜΟΥ,30008,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,,2644051455,ΔΑΛΛΑΣ ΔΗΜΗΤΡΙΟΣ,ΔΑΛΛΑΣ ΔΗΜΗΤΡΙΟΣ,2003,12,6
39,ΤΡΙΧΩΝΙΣ,0413Κ032Α0007700,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΑΡΑΘΙΑΣ ΚΑΛΟΥΔΙΟΥΘΕΡΜΟΥ,300 08,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,,26350 31891,ΚΑΝΑΤΣΟΥΛΗ ΓΕΩΡΓΙΑ,ΛΟΥΚΑΣ ΓΕΩΡΓΙΟΥ ΠΛΑΣΤΡΑΣ,2000,5,2
40,ΦΙΛΟΞΕΝΙΑ,0413Κ032Α0111701,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΚΑΤΩ ΒΑΣΙΛΙΚΗΧΑΛΚΕΙΑΣ,30014,ΝΑΥΠΑΚΤΙΑΣ,ΧΑΛΚΕΙΑΣ,,2634045053,ΙΩΑΝΝΟΥ ΑΘΑΝΑΣΙΟΣ,ΙΩΑΝΝΟΥ ΑΘΑΝΑΣΙΟΣ,2009,10,5
41,ΒΑΣΙΛΙΚΗ  ΣΕΡΕΠΙΣΟΥ,0413Κ953Α0112200,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Μπαγκαλόους,3Α,ΠΑΛΑΙΡΟΣ - ΒΟΝΙΤΣΑΣΠΑΛΑΙΡΟΥ,300 12,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΠΑΛΑΙΡΟΥ,,26430 42001,ΒΑΣΙΛΙΚΗ  ΣΕΡΕΠΙΣΟΥ,ΚΟΙΝΟΤΗΤΑ ΠΑΛΑΙΡΟΥ,1992,41,20
42,ΑΚΤΗ ΛΕΠΑΝΤΟ -LEPANTO BEACH.,0413Κ013Α0001800,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΓΡΙΜΠΟΒΟ,303 00,ΝΑΥΠΑΚΤΙΑΣ,,,26340 23980,ΑΕ ΤΟΥΡ.κ ΞΕΝ. ΕΠΙΧ.ΝΑΥΠΑΚΤΟΥ LEPANTO BEACH,ΑΕ ΤΟΥΡ.κ ΞΕΝ.ΕΠΙΧ.ΝΑΥΠΑΚΤΟΥ LEPANTO BEACH,1985,93,48
43,ΑΛΕΞΑΝΔΡΟΣ - ALEXANDER,0413Κ013Α0005701,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΑΓΡΙΝΙΟΑΓΡΙΝΙΟΥ,301 00,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,,2641044590,ΛΙΑΠΑΣ ΧΡΗΣΤΟΣ & ΣΙΑ Ο.Ε.,ΛΙΑΠΑΣ ΧΡΗΣΤΟΣ & ΣΙΑ Ο.Ε.,2007,78,39
44,ΑΛΘΑΙΑ,0413Κ013Α0112901,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΠΕΤΡΟΧΩΡΙΘΕΡΜΟΥ,30008,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,,2644023133,ΣΑΓΩΝΑΣ ΕΥΘΥΜΙΟΣ,ΣΑΓΩΝΑΣ ΕΥΘΥΜΙΟΣ,2009,48,23
